iter	RMSE
132	19611.11787
133	19542.12642
134	19473.51458
135	19406.52121
136	19355.10864
137	19308.37572
138	19241.1605
139	19202.5546
140	19133.96281
141	19089.85303
142	19021.40692
143	18962.11404
144	18901.58091
145	18840.66499
146	18791.40187
147	18725.99953
148	18689.32709
149	18621.7746
150	18580.6378
151	18525.32359
152	18454.09844
153	18406.1231
154	18383.50153
155	18323.35648
156	18291.57355
157	18270.10291
158	18210.04694
159	18165.5717
160	18124.0094
161	18086.66352
162	18030.61501
163	17977.21243
164	17933.53385
165	17885.42993
166	17843.02025
167	17804.62467
168	17753.00664
169	17736.87367
170	17721.56803
171	17682.24896
172	17628.38331
173	17582.54086
174	17536.77414
175	17490.73318
176	17419.14339
177	17369.20362
178	17330.82581
179	17281.10646
180	17240.06991
181	17188.91204
182	17177.54667
183	17131.7428
184	17117.03094
185	17078.85259
186	17042.49189
187	16993.68406
188	16957.50546
189	16910.19557
190	16897.98099
191	16865.45623
192	16852.96121
193	16822.45743
194	16779.70937
195	16738.84914
196	16691.85209
197	16672.42707
198	16619.53303
199	16578.82096
200	16558.9598
201	16523.11959
202	16469.04995
203	16404.41717
204	16378.59863
205	16365.09888
206	16314.68899
207	16304.11068
208	16265.02479
209	16223.92735
210	16181.35182
211	16154.21988
212	16099.53412
213	16088.75316
214	16038.39777
215	16006.58109
216	15977.51234
217	15967.96602
218	15938.91687
219	15886.37005
220	15843.63715
221	15834.92669
222	15794.21255
223	15747.43297
224	15707.20489
225	15655.30952
226	15647.38848
227	15638.132
228	15630.38288
229	15621.24817
230	15585.19485
231	15552.80593
232	15515.96714
233	15507.13345
234	15466.20552
235	15457.77848
236	15430.11838
237	15381.29864
238	15339.35028
239	15313.72718
240	15268.80767
241	15227.12525
242	15198.24766
243	15171.8565
244	15164.90569
245	15126.81336
246	15119.38801
247	15091.4051
248	15059.94314
249	15011.80417
250	14967.13827
251	14960.05773
252	14929.84104
253	14903.45181
254	14897.28879
255	14860.93111
256	14816.31828
257	14767.65181
258	14761.84361
259	14731.82331
260	14687.86812
261	14678.53747
262	14638.27484
263	14632.71401
264	14627.27376
265	14600.99784
266	14571.37747
267	14566.09272
268	14540.18874
269	14535.08003
270	14500.35057
271	14495.18914
272	14490.29562
273	14485.5282
274	14458.12631
275	14430.00595
276	14409.93699
277	14372.95343
278	14325.57202
279	14290.0656
280	14285.54983
281	14264.64799
282	14227.96886
283	14209.76801
284	14169.48697
285	14137.86446
286	14132.95866
287	14104.94072
288	14069.6613
289	14043.26683
290	14012.69516
291	14008.47349
292	13965.70846
293	13933.45614
294	13900.79431
295	13861.9911
296	13854.49221
297	13822.29465
298	13797.2633
299	13781.02734
300	13744.77731
301	13717.43834
302	13688.44785
303	13681.25227
304	13665.73281
305	13647.8087
306	13607.56948
307	13603.68476
308	13573.69767
309	13541.20948
310	13537.91461
311	13512.5994
312	13483.80134
313	13469.48381
314	13466.26539
315	13438.5672
316	13435.20011
317	13407.42295
318	13385.25374
319	13382.00801
320	13349.01035
321	13320.9069
322	13287.24332
323	13264.47517
324	13244.80838
325	13221.8027
326	13197.84277
327	13156.98203
328	13150.10138
329	13120.69279
330	13112.44594
331	13085.84061
332	13080.35906
333	13056.61018
334	13027.0262
335	13000.65231
336	12969.68077
337	12939.93415
338	12928.32379
339	12903.53241
340	12880.4154
341	12852.61264
342	12818.29154
343	12808.85437
344	12784.67053
345	12756.3684
346	12720.73324
347	12697.43321
348	12692.73282
349	12670.64163
350	12647.09185
351	12622.35829
352	12604.4229
353	12580.68831
354	12575.30137
355	12540.18278
356	12525.56916
357	12496.11268
358	12476.86936
359	12449.68934
360	12422.16986
361	12407.74597
362	12391.14512
363	12361.06046
364	12337.09584
365	12323.35744
366	12299.31514
367	12294.59102
368	12275.62332
369	12256.37084
370	12236.80126
371	12203.90244
372	12167.00667
373	12145.84351
374	12126.6651
375	12101.58448
376	12094.66376
377	12077.28981
378	12045.4204
379	12022.72043
380	11998.2367
381	11992.015
382	11967.23559
383	11946.8113
384	11922.31281
385	11915.09306
386	11895.94922
387	11870.44462
388	11852.85624
389	11848.84233
390	11829.5929
391	11810.50604
392	11790.09384
393	11777.23165
394	11762.00298
395	11753.19065
396	11750.67477
397	11744.33523
398	11712.93005
399	11690.95121
400	11664.8377
401	11658.00863
402	11639.75561
403	11614.74804
404	11589.08502
405	11553.9775
406	11532.55498
407	11527.95192
408	11511.64315
409	11504.79416
410	11480.59993
411	11465.5632
412	11447.99334
413	11434.93998
414	11412.32688
415	11394.23952
416	11381.02579
417	11370.24978
418	11360.57652
419	11338.00618
420	11327.14793
421	11307.97354
422	11303.60567
423	11282.73443
424	11276.52244
425	11251.519
426	11226.36559
427	11216.91655
428	11191.95504
429	11178.15754
430	11165.32824
431	11145.79362
432	11128.79699
433	11110.43917
434	11083.93884
435	11080.53145
436	11066.2566
437	11056.75461
438	11045.68043
439	11022.57244
440	11000.31593
441	10996.46273
442	10975.61607
443	10971.4457
444	10945.66819
445	10931.63805
446	10920.19527
447	10905.24224
448	10889.78845
449	10858.81378
450	10855.52707
451	10833.81201
452	10831.10717
453	10812.34527
454	10800.82505
455	10784.67826
456	10763.00406
457	10750.94063
458	10734.95789
459	10712.84294
460	10705.5189
461	10676.25719
462	10656.61956
463	10638.57176
464	10615.78732
465	10596.73504
466	10578.92078
467	10554.06421
468	10534.75249
469	10513.53933
470	10495.3136
471	10476.44329
472	10474.49013
473	10469.33166
474	10452.35205
475	10438.44124
476	10422.81287
477	10413.35453
478	10397.69995
479	10394.5251
480	10380.79619
481	10355.68009
482	10333.92974
483	10328.3216
484	10308.55545
485	10289.66536
486	10269.7168
487	10266.28187
488	10255.93653
489	10238.13995
490	10225.95483
491	10224.07216
492	10220.74878
493	10203.22349
494	10183.48247
495	10167.93887
496	10151.19175
497	10137.4282
498	10134.17091
499	10108.88892
500	10082.05853
501	10070.80533
502	10068.5439
503	10045.51545
504	10032.89642
505	10014.84484
506	10001.1286
507	9978.607832
508	9964.628467
509	9951.070052
510	9935.278735
511	9923.67086
512	9921.196377
513	9901.622076
514	9898.66034
515	9895.359505
516	9879.288222
517	9865.046728
518	9851.476457
519	9839.031898
520	9837.080804
521	9828.707534
522	9815.097843
523	9813.311001
524	9801.900184
525	9799.247202
526	9775.113176
527	9759.391374
528	9747.808277
529	9732.062536
530	9709.507077
531	9684.177669
532	9660.002964
533	9642.750487
534	9632.905481
535	9614.754905
536	9601.843552
537	9583.570883
538	9570.048317
539	9546.848102
540	9545.074659
541	9529.709648
542	9526.927108
543	9506.813723
544	9490.397455
545	9477.302394
546	9475.617732
547	9454.27761
548	9435.022912
549	9432.011545
550	9430.374946
551	9412.930825
552	9400.273106
553	9383.077609
554	9372.430924
555	9363.053588
556	9344.527243
557	9342.862416
558	9328.939428
559	9313.139118
560	9303.65554
561	9291.099439
562	9266.225034
563	9264.454319
564	9251.498196
565	9247.773608
566	9230.971216
567	9214.186316
568	9190.380637
569	9170.999564
570	9160.152498
571	9154.164633
572	9138.764391
573	9129.05725
574	9117.313531
575	9099.188718
576	9076.474329
577	9072.714437
578	9070.961978
579	9058.186447
580	9044.379193
581	9042.5171
582	9041.034329
583	9028.048743
584	9026.136287
585	9012.998967
586	9011.561338
587	8993.203776
588	8979.636354
589	8975.547268
590	8962.614786
591	8945.991798
592	8944.592331
593	8938.713982
594	8920.049183
595	8907.345612
596	8903.440908
597	8885.595341
598	8884.05345
599	8865.124178
600	8851.592472
601	8840.323409
602	8826.831396
603	8807.388042
604	8790.903668
605	8773.991393
606	8749.322828
607	8738.741501
608	8723.330689
609	8711.606185
610	8697.620846
611	8695.957686
612	8687.713439
613	8677.33954
614	8674.282887
615	8672.735171
616	8661.810647
617	8660.563183
618	8642.877487
619	8641.328048
620	8634.073015
621	8619.240209
622	8599.466862
623	8588.398151
624	8574.428211
625	8560.91886
626	8545.199325
627	8538.670426
628	8525.713725
629	8516.753573
630	8507.783635
631	8496.102491
632	8483.143102
633	8463.756444
634	8454.920065
635	8443.613943
636	8431.108718
637	8422.295885
638	8398.723141
639	8391.53663
640	8375.68563
641	8374.365797
642	8356.00845
643	8350.675436
644	8336.310736
645	8318.385698
646	8313.010531
647	8295.051057
648	8283.424641
649	8281.025648
650	8262.595637
651	8259.499736
652	8250.855471
653	8234.219151
654	8213.761883
655	8210.388538
656	8206.790226
657	8191.594599
658	8172.327226
659	8160.490127
660	8159.358781
661	8150.509964
662	8148.993683
663	8134.702758
664	8121.186608
665	8106.080976
666	8090.352243
667	8082.587348
668	8066.813517
669	8060.87945
670	8054.332079
671	8053.2264
672	8036.903613
673	8026.851549
674	8025.307929
675	8011.869827
676	7998.759345
677	7997.711572
678	7986.901261
679	7972.075191
680	7960.136094
681	7954.876346
682	7947.247945
683	7935.546889
684	7934.529459
685	7927.80345
686	7914.864145
687	7911.658263
688	7903.359591
689	7891.551297
690	7882.527782
691	7874.085991
692	7858.41127
693	7857.065434
694	7842.485349
695	7827.851729
696	7819.847979
697	7806.230823
698	7805.009323
699	7789.969646
700	7779.925874
701	7777.525418
702	7768.81677
703	7767.569692
704	7753.416025
705	7736.337756
706	7720.46224
707	7703.728724
708	7699.709325
709	7691.865653
710	7688.466984
711	7673.862195
712	7665.75035
713	7655.740478
714	7645.46
715	7635.365881
716	7628.352195
717	7615.455566
718	7599.88429
719	7589.178541
720	7587.326608
721	7572.322752
722	7566.184451
723	7554.821654
724	7540.733291
725	7522.922773
726	7512.285285
727	7494.794523
728	7483.51179
729	7471.395681
730	7470.478757
731	7454.888138
732	7443.658197
733	7442.774051
734	7441.655116
735	7433.488272
736	7421.688213
737	7411.89299
738	7394.906366
739	7383.394967
740	7380.166542
741	7375.409238
742	7368.736914
743	7353.191337
744	7350.992108
745	7343.68098
746	7332.418356
747	7325.320958
748	7312.726904
749	7306.368347
750	7290.284368
751	7276.118227
752	7270.390645
753	7257.671884
754	7240.427828
755	7238.396241
756	7229.480301
757	7222.691897
758	7211.631525
759	7202.559749
760	7188.626548
761	7187.378199
762	7175.68728
763	7159.266936
764	7152.007567
765	7148.900068
766	7140.561768
767	7135.192521
768	7123.96975
769	7111.608135
770	7105.832011
771	7100.56749
772	7085.05531
773	7076.363169
774	7072.494636
775	7070.943981
776	7060.260662
777	7048.970642
778	7041.542908
779	7033.276521
780	7020.014649
781	7008.940265
782	6996.694111
783	6985.033854
784	6973.973575
785	6967.300957
786	6955.192172
787	6954.353932
788	6948.065555
789	6947.304947
790	6936.852966
791	6926.639663
792	6922.480915
793	6914.402564
794	6912.521389
795	6911.781784
796	6905.65664
797	6894.758325
798	6892.621037
799	6883.736624
800	6874.14576
801	6861.620401
802	6851.981523
803	6841.915209
804	6836.581336
805	6833.098326
806	6832.005949
807	6829.093528
808	6812.676081
809	6811.703206
810	6797.533143
811	6789.089161
812	6771.443216
813	6760.505136
814	6753.004531
815	6752.333962
816	6739.297114
817	6738.221391
818	6722.268754
819	6710.076051
820	6701.244286
821	6696.183882
822	6687.018723
823	6685.744019
824	6676.854093
825	6666.72745
826	6656.937335
827	6650.270194
828	6649.332102
829	6637.879394
830	6628.970738
831	6617.019862
832	6597.213205
833	6587.642639
834	6586.84719
835	6582.853634
836	6578.375281
837	6568.89401
838	6564.908709
839	6562.188256
840	6561.38289
841	6550.383218
842	6544.881801
843	6532.651528
844	6531.509294
845	6521.02602
846	6510.755785
847	6509.911364
848	6500.268264
849	6499.407907
850	6495.874404
851	6495.251643
852	6480.733782
853	6480.124445
854	6465.962316
855	6463.65668
856	6459.255874
857	6454.111844
858	6443.74867
859	6433.096654
860	6424.242676
861	6417.042883
862	6415.28609
863	6408.943972
864	6398.437027
865	6389.554245
866	6378.210449
867	6366.655483
868	6357.101387
869	6347.728596
870	6343.726886
871	6333.845561
872	6327.10592
873	6319.302147
874	6317.94458
875	6306.072071
876	6305.478068
877	6297.160782
878	6296.374878
879	6278.686163
880	6268.788826
881	6259.575548
882	6248.29637
883	6238.584878
884	6235.501012
885	6227.64391
886	6222.320543
887	6212.811181
888	6201.850412
889	6189.346714
890	6185.903655
891	6169.710194
892	6156.792234
893	6152.835646
894	6142.167933
895	6130.111785
896	6125.059914
897	6121.05006
898	6113.226501
899	6107.507043
900	6099.85495
901	6094.654164
902	6085.857993
903	6074.539592
904	6062.251022
905	6052.22388
906	6045.686653
907	6044.974621
908	6034.182855
909	6023.73573
910	6019.510595
911	6012.459969
912	6011.922732
913	6010.597586
914	6007.154297
915	5997.783252
916	5995.038724
917	5988.998851
918	5984.23754
919	5978.638566
920	5961.982657
921	5960.651833
922	5951.521374
923	5950.913772
924	5944.961221
925	5941.158017
926	5930.248504
927	5924.135738
928	5916.424617
929	5906.400866
930	5901.030661
931	5888.533914
932	5877.117376
933	5876.164659
934	5864.812106
935	5861.734408
936	5854.687355
937	5845.740651
938	5837.067214
939	5830.445319
940	5818.214267
941	5812.637089
942	5799.141967
943	5793.015569
944	5781.817906
945	5772.595989
946	5764.621706
947	5757.62438
948	5754.991016
949	5742.081607
950	5739.051896
951	5738.051224
952	5732.06879
953	5727.563186
954	5722.778159
955	5722.293953
956	5721.557498
957	5710.392806
958	5704.116198
959	5699.560299
960	5699.08178
961	5695.522886
962	5689.11431
963	5678.206254
964	5667.32271
965	5658.462209
966	5652.293899
967	5648.195758
968	5638.664048
969	5632.075349
970	5622.577385
971	5614.025625
972	5606.514362
973	5596.038562
974	5593.880515
975	5591.778653
976	5588.618551
977	5588.218832
978	5587.689656
979	5581.144115
980	5567.448435
981	5567.004345
982	5557.377806
983	5548.231338
984	5539.703207
985	5532.361961
986	5524.762034
987	5516.125009
988	5515.709845
989	5507.370538
990	5504.215995
991	5497.0209
992	5493.814127
993	5489.269853
994	5481.317401
995	5480.839894
996	5480.343112
997	5466.81146
998	5464.593627
999	5455.209463
